Date & Time,ECG_Data
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,316
[2023-04-06 14:21:13.308] ,315
[2023-04-06 14:21:13.308] ,325
[2023-04-06 14:21:13.308] ,323
[2023-04-06 14:21:13.308] ,322
[2023-04-06 14:21:13.308] ,324
[2023-04-06 14:21:13.322] ,330
[2023-04-06 14:21:13.322] ,327
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,331
[2023-04-06 14:21:13.322] ,327
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,325
[2023-04-06 14:21:13.322] ,326
[2023-04-06 14:21:13.322] ,323
[2023-04-06 14:21:13.322] ,327
[2023-04-06 14:21:13.322] ,331
[2023-04-06 14:21:13.322] ,323
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,327
[2023-04-06 14:21:13.322] ,330
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,324
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,331
[2023-04-06 14:21:13.322] ,329
[2023-04-06 14:21:13.322] ,332
[2023-04-06 14:21:13.322] ,342
[2023-04-06 14:21:13.322] ,348
[2023-04-06 14:21:13.322] ,352
[2023-04-06 14:21:13.322] ,356
[2023-04-06 14:21:13.322] ,368
[2023-04-06 14:21:13.322] ,352
[2023-04-06 14:21:13.322] ,330
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,318
[2023-04-06 14:21:13.322] ,320
[2023-04-06 14:21:13.322] ,322
[2023-04-06 14:21:13.322] ,316
[2023-04-06 14:21:13.322] ,319
[2023-04-06 14:21:13.322] ,310
[2023-04-06 14:21:13.322] ,328
[2023-04-06 14:21:13.322] ,518
[2023-04-06 14:21:13.322] ,656
[2023-04-06 14:21:13.322] ,397
[2023-04-06 14:21:13.322] ,285
[2023-04-06 14:21:13.322] ,347
[2023-04-06 14:21:13.322] ,309
[2023-04-06 14:21:13.322] ,310
[2023-04-06 14:21:13.322] ,321
